Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.2743,51.2335,1.1302,56.8600
2,1.0927,58.4525,1.0495,60.0921
3,1.0228,61.1467,1.0155,61.3618
4,0.9729,63.1107,0.9986,61.8344
5,0.9330,64.5798,0.9858,62.7022
6,0.8110,69.3550,0.9453,64.2313
7,0.7685,70.9820,0.9511,64.6428
8,0.7412,71.9967,0.9678,64.0140
9,0.7159,72.9690,0.9556,64.9022
10,0.6917,73.9775,0.9761,64.2408
11,0.6513,75.6896,0.9888,64.5993
12,0.6445,75.8440,0.9973,64.4051
13,0.6405,76.0280,1.0003,64.4173
14,0.6364,76.1843,1.0015,64.4744
15,0.6327,76.3192,1.0122,63.9624
16,0.6280,76.5816,1.0040,64.4119
17,0.6271,76.5636,1.0090,64.1783
18,0.6271,76.5538,1.0105,64.1498
19,0.6264,76.6121,1.0144,64.2164
20,0.6260,76.6029,1.1419,59.8544
