Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.3989,46.3033,1.2219,52.9299
2,1.1841,55.1558,1.1315,56.6427
3,1.1123,57.9940,1.1083,58.0374
4,1.0693,59.5755,1.0421,60.4370
5,1.0341,60.9787,1.0259,61.0698
6,1.0089,62.0133,1.0031,61.9756
7,0.9860,62.9499,0.9892,62.4143
8,0.9663,63.5814,0.9680,63.5740
9,0.9468,64.3922,0.9686,63.4070
10,0.9298,64.9630,0.9558,63.8402
11,0.9170,65.4936,0.9498,64.2598
12,0.8974,66.1824,0.9443,64.2924
13,0.8892,66.4762,0.9455,64.2286
14,0.8699,67.1698,0.9546,64.0330
15,0.8634,67.3960,0.9297,65.1072
16,0.8466,68.0359,0.9661,63.6786
17,0.8339,68.4431,0.9310,65.0773
18,0.8173,69.0935,0.9404,64.9402
19,0.8052,69.5714,0.9453,65.0665
20,0.7955,69.9328,0.9475,64.8641
21,0.7875,70.2070,0.9658,63.6609
22,0.7721,70.7055,0.9854,63.5129
23,0.7647,71.0213,0.9521,65.3001
24,0.7462,71.6411,0.9471,65.5228
25,0.7330,72.2220,0.9879,63.7587
26,0.7193,72.6867,0.9650,65.3123
27,0.7061,73.1531,0.9713,65.3001
28,0.6926,73.6115,0.9673,65.4549
29,0.6780,74.1539,1.0057,65.2933
30,0.6652,74.6236,1.0124,65.0502
